artist,ARG,AUS,AUT,BEL,BGR,BOL,BRA,CAN,CHE,CHL,COL,CRI,CYP,CZE,DEU,DNK,DOM,ECU,ESP,EST,FIN,FRA,GBR,GRC,GTM,HND,HUN,IDN,IRL,ISL,ISR,ITA,JPN,LTU,LUX,LVA,MEX,MLT,MYS,NIC,NLD,NOR,NZL,PAN,PER,PHL,POL,PRT,PRY,ROU,SGP,SLV,SVK,SWE,THA,TUR,URY,USA,VNM
Post Malone,0,6,2,1,2,0,1,7,2,0,0,0,5,1,2,1,1,0,0,6,1,1,5,1,1,1,1,0,5,4,3,1,0,3,4,6,1,5,1,1,1,1,6,1,0,0,1,2,0,4,1,1,4,1,3,1,0,8,1
Drake,1,5,2,2,5,1,1,8,2,1,1,0,5,2,2,2,3,1,1,2,1,2,6,5,1,3,2,0,6,4,5,2,1,3,3,2,1,3,2,2,3,2,4,2,1,1,1,4,1,6,1,2,2,2,2,3,1,10,2
Kendrick Lamar,0,2,0,1,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,2,1,2,0,0,2,1,1,0,1,1,0,0,0,2,0,0,0,1,1,0,2,0,0,1,0,1,0,0,4,0
Lil Uzi Vert,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0
The Chainsmokers,0,3,5,3,3,3,3,4,3,0,2,0,3,5,4,2,2,1,1,5,2,0,3,3,3,3,4,5,3,2,1,3,2,5,4,4,1,5,6,3,3,3,3,3,1,6,3,4,3,0,6,3,5,3,2,2,0,3,2
Ed Sheeran,3,7,4,6,4,4,2,4,5,3,3,0,2,6,3,7,3,4,2,5,1,1,7,4,4,4,4,5,7,4,2,4,3,3,5,3,4,6,5,4,5,5,7,3,2,6,6,5,4,1,7,4,5,7,4,1,2,3,4
Khalid,0,3,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,3,0,0,1,0,0,0,2,1,0,0,0,1,0,0,2,1
Travis Scott,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0
Luis Fonsi,3,1,2,2,2,3,1,1,3,2,1,0,2,2,2,1,1,2,2,1,1,2,1,2,2,2,2,1,1,1,0,2,1,1,3,1,2,2,1,2,2,2,1,2,2,1,2,2,2,0,1,2,2,1,0,1,3,1,0
French Montana,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
