Pos,artist,title,Total,country
1,Post Malone ,rockstar,458842526,USA
2,Drake ,One Dance,456343099,USA
3,Kendrick Lamar ,HUMBLE.,455661652,USA
4,Lil Uzi Vert ,XO TOUR Llif3,451915172,USA
5,Drake ,God's Plan,423693797,USA
6,Post Malone ,Congratulations,406309152,USA
7,The Chainsmokers ,Closer,398875454,USA
8,Ed Sheeran ,Shape of You,351265970,USA
9,Khalid ,Location,320227689,USA
10,Travis Scott ,goosebumps,317019495,USA
1,Ed Sheeran ,Shape of You,162863213,GBR
2,Drake ,One Dance,148811149,GBR
3,Luis Fonsi ,Despacito ,105976929,GBR
4,Ed Sheeran ,Castle on the Hill,103877016,GBR
5,French Montana ,Unforgettable,102294719,GBR
6,Ed Sheeran ,Thinking Out Loud,100683664,GBR
7,Post Malone ,rockstar,98666843,GBR
8,Justin Bieber ,Sorry,96347535,GBR
9,Dua Lipa ,New Rules,95883527,GBR
10,James Arthur ,Say You Won't Let Go,93963195,GBR
1,Luis Fonsi ,Despacito (Featuring Daddy Yankee),67086,AND
2,Ed Sheeran ,Shape of You,60876,AND
3,Enrique Iglesias ,SUBEME LA RADIO,35659,AND
4,Luis Fonsi ,Despacito ,28579,AND
5,Shakira ,Chantaje,27667,AND
6,Drake ,One Dance,27414,AND
7,Maluma ,Felices los 4,25429,AND
8,Danny Ocean ,Me Rehúso,25268,AND
9,The Chainsmokers ,Something Just Like This,24563,AND
10,Clean Bandit ,Rockabye,23734,AND
1,Danny Ocean ,Me Rehúso,64335685,ARG
2,Luis Fonsi ,Despacito (Featuring Daddy Yankee),58753237,ARG
3,Natti Natasha ,Criminal,54902829,ARG
4,Maluma ,Felices los 4,52812502,ARG
5,Ed Sheeran ,Shape of You,52700144,ARG
6,Zion & Lennox ,Otra Vez,48423436,ARG
7,Wisin ,Escápate Conmigo,46724367,ARG
8,CNCO ,Reggaetón Lento (Bailemos),45366335,ARG
9,Ozuna ,Se Preparó,42611468,ARG
10,Chris Jeday ,Ahora Dice,40725250,ARG
1,Ed Sheeran ,Shape of You,70721842,AUS
2,Post Malone ,rockstar,55840722,AUS
3,The Chainsmokers ,Closer,55771971,AUS
4,Drake ,One Dance,55002370,AUS
5,Kendrick Lamar ,HUMBLE.,47240733,AUS
6,Post Malone ,I Fall Apart,46842391,AUS
7,Flume ,Never Be Like You,45436163,AUS
8,Drake ,God's Plan,44304886,AUS
9,The Weeknd ,Starboy,43989478,AUS
10,James Arthur ,Say You Won't Let Go,42844040,AUS
1,Ed Sheeran ,Shape of You,7218243,AUT
2,Axwell /\ Ingrosso ,More Than You Know,5059073,AUT
3,Post Malone ,rockstar,4833105,AUT
4,Bausa ,Was Du Liebe nennst,4798180,AUT
5,Imagine Dragons ,Thunder,4659861,AUT
6,Alan Walker ,Faded,4166095,AUT
7,Camila Cabello ,Havana,4111430,AUT
8,Imagine Dragons ,Believer,4017302,AUT
9,The Chainsmokers ,Closer,3892854,AUT
10,Martin Jensen ,Solo Dance,3846119,AUT
1,Ed Sheeran ,Shape of You,15093964,BEL
2,Drake ,One Dance,9259920,BEL
3,Ed Sheeran ,Thinking Out Loud,7922996,BEL
4,Major Lazer ,Lean On,7857101,BEL
5,Post Malone ,rockstar,7591891,BEL
6,Camila Cabello ,Havana,7512492,BEL
7,Dua Lipa ,New Rules,7424139,BEL
8,The Chainsmokers ,Closer,7245297,BEL
9,The Chainsmokers ,Something Just Like This,7157549,BEL
10,John Legend ,All of Me,7003001,BEL
1,Danny Ocean ,Me Rehúso,3601955,BOL
2,Zion & Lennox ,Otra Vez,2764627,BOL
3,Piso 21 ,Déjala Que Vuelva,2757708,BOL
4,Ed Sheeran ,Shape of You,2471623,BOL
5,Maluma ,Felices los 4,2426459,BOL
6,Luis Fonsi ,Despacito (Featuring Daddy Yankee),2217239,BOL
7,Wisin ,Escápate Conmigo,2169135,BOL
8,CNCO ,Reggaetón Lento (Bailemos),2077617,BOL
9,Manuel Turizo ,Una Lady Como Tú,2044021,BOL
10,Sebastian Yatra ,Traicionera,1977202,BOL
1,Ed Sheeran ,Shape of You,131774735,BRA
2,Alok ,Hear Me Now,119268930,BRA
3,1Kilo ,Deixe Me Ir ,107841476,BRA
4,Anitta ,Vai malandra,106433106,BRA
5,Henrique & Juliano ,Vidinha de Balada ,103734648,BRA
6,Henrique & Diego ,Raspão ,101334017,BRA
7,Jorge & Mateus ,Propaganda ,94765543,BRA
8,Simone & Simaria ,Regime Fechado ,93763776,BRA
9,Mc Livinho ,Fazer Falta,90204946,BRA
10,MC's Jhowzinho & Kadinho ,Agora Vai Sentar,85921331,BRA
1,Ed Sheeran ,Shape of You,1006094,BGR
2,Post Malone ,rockstar,835297,BGR
3,Drake ,One Dance,734342,BGR
4,The Weeknd ,Starboy,728522,BGR
5,Kendrick Lamar ,HUMBLE.,566067,BGR
6,Dua Lipa ,New Rules,559157,BGR
7,Camila Cabello ,Havana,551962,BGR
8,French Montana ,Unforgettable,507921,BGR
9,Major Lazer ,Lean On,501172,BGR
10,Imagine Dragons ,Believer,497077,BGR
1,Ed Sheeran ,Shape of You,62021372,CAN
2,Post Malone ,rockstar,60314999,CAN
3,Drake ,One Dance,60008556,CAN
4,Drake ,God's Plan,51969974,CAN
5,Luis Fonsi ,Despacito ,50694653,CAN
6,The Chainsmokers ,Closer,50050511,CAN
7,Kendrick Lamar ,HUMBLE.,48610523,CAN
8,French Montana ,Unforgettable,48155741,CAN
9,Lil Uzi Vert ,XO TOUR Llif3,45325466,CAN
10,Camila Cabello ,Havana,40575627,CAN
1,Danny Ocean ,Me Rehúso,59157500,CHL
2,Zion & Lennox ,Otra Vez,53728059,CHL
3,Wisin ,Escápate Conmigo,46255423,CHL
4,Luis Fonsi ,Despacito (Featuring Daddy Yankee),40818119,CHL
5,Ed Sheeran ,Shape of You,39437117,CHL
6,Anuel Aa ,Sola (Remix),38437060,CHL
7,Natti Natasha ,Criminal,38409017,CHL
8,Piso 21 ,Déjala Que Vuelva,37931075,CHL
9,Zion & Lennox ,La Player (Bandolera),36580720,CHL
10,Maluma ,Felices los 4,36415938,CHL
1,Zion & Lennox ,Otra Vez,22328651,COL
2,Danny Ocean ,Me Rehúso,21577593,COL
3,Ed Sheeran ,Shape of You,19515273,COL
4,Piso 21 ,Déjala Que Vuelva,16033830,COL
5,Manuel Turizo ,Una Lady Como Tú,15551533,COL
6,Luis Fonsi ,Despacito (Featuring Daddy Yankee),15035033,COL
7,Carlos Vives ,Robarte un Beso,14794119,COL
8,Drake ,One Dance,14318633,COL
9,Anuel Aa ,Sola (Remix),14151684,COL
10,Nicky Jam ,El Amante,13770694,COL
1,Ed Sheeran ,Shape of You,9460974,CRC
2,Danny Ocean ,Me Rehúso,9102724,CRC
3,Drake ,One Dance,7641411,CRC
4,Zion & Lennox ,Otra Vez,7478851,CRC
5,Luis Fonsi ,Despacito (Featuring Daddy Yankee),6961941,CRC
6,Ed Sheeran ,Thinking Out Loud,6494333,CRC
7,Wisin ,Escápate Conmigo,5851910,CRC
8,CNCO ,Reggaetón Lento (Bailemos),5653533,CRC
9,Chris Jeday ,Ahora Dice,5551960,CRC
10,Ozuna ,Se Preparó,5497390,CRC
1,Ed Sheeran ,Shape of You,349096,CYP
2,Post Malone ,rockstar,291151,CYP
3,Drake ,One Dance,244667,CYP
4,Camila Cabello ,Havana,241062,CYP
5,French Montana ,Unforgettable,224999,CYP
6,Dua Lipa ,New Rules,214155,CYP
7,Drake ,God's Plan,204648,CYP
8,Imagine Dragons ,Believer,186139,CYP
9,Imagine Dragons ,Thunder,174665,CYP
10,Axwell /\ Ingrosso ,More Than You Know,167191,CYP
1,Ed Sheeran ,Shape of You,6039542,CZE
2,Imagine Dragons ,Thunder,4195825,CZE
3,Imagine Dragons ,Believer,4044854,CZE
4,Axwell /\ Ingrosso ,More Than You Know,3677168,CZE
5,The Chainsmokers ,Something Just Like This,3538152,CZE
6,Camila Cabello ,Havana,3293549,CZE
7,Post Malone ,rockstar,3154714,CZE
8,The Chainsmokers ,Closer,3005513,CZE
9,Ed Sheeran ,Galway Girl,2599245,CZE
10,Kygo ,It Ain't Me,2581738,CZE
1,Ed Sheeran ,Shape of You,29085227,DNK
2,Justin Bieber ,Love Yourself,27277480,DNK
3,Lukas Graham ,7 Years,27061548,DNK
4,Blak ,Nede Mette,23911587,DNK
5,Luis Fonsi ,Despacito ,23815992,DNK
6,Ed Sheeran ,Thinking Out Loud,22974610,DNK
7,Justin Bieber ,Sorry,22929447,DNK
8,Ed Sheeran ,I See Fire,22149435,DNK
9,Drake ,One Dance,21627950,DNK
10,Mike Posner ,I Took A Pill In Ibiza -  Seeb Remix,19756214,DNK
1,Zion & Lennox ,Otra Vez,3390429,DOM
2,Danny Ocean ,Me Rehúso,3117320,DOM
3,Drake ,One Dance,3106582,DOM
4,Chris Jeday ,Ahora Dice,2983589,DOM
5,Wisin ,Escápate Conmigo,2781319,DOM
6,Farruko ,Diles,2743633,DOM
7,Ed Sheeran ,Shape of You,2559514,DOM
8,Anuel Aa ,Sola (Remix),2519198,DOM
9,Nio Garcia ,Te Boté ,2435065,DOM
10,Ozuna ,Dile Que Tu Me Quieres,2405049,DOM
1,Danny Ocean ,Me Rehúso,8482704,ECU
2,Zion & Lennox ,Otra Vez,7067031,ECU
3,Ed Sheeran ,Shape of You,6767224,ECU
4,Luis Fonsi ,Despacito (Featuring Daddy Yankee),6382858,ECU
5,Piso 21 ,Déjala Que Vuelva,5845631,ECU
6,Maluma ,Felices los 4,5804923,ECU
7,Chino & Nacho ,Andas En Mi Cabeza,5745606,ECU
